placekey,safegraph_place_id,brands,location_name,street_address,city,region,postal_code,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts
222-222@8f4-7jz-7wk,sg:6e8e9c6f809e4b14b5a507aec02d5431,Lowe's,Lowe's,298 Rasberry Rd,Crestview,FL,32536,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3824.0,2057.0
zzw-222@5qv-x9y-dsq,sg:a28b43585edf43ef844eb3958d867f7e,The Home Depot,The Home Depot,251 S Industrial Blvd,Euless,TX,76040,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3319.0,2018.0
222-222@8gq-bqp-9vf,sg:303866e790ac44abb53e467cf5f85828,Lowe's,Lowe's,5630 Seven Mile Dr,Wildwood,FL,34785,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2582.0,1540.0
223-222@5qv-x9b-vzz,sg:3563f04e677f4183a671a699a1fd66b2,The Home Depot,The Home Depot,3200 W Irving Blvd,Irving,TX,75061,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3797.0,2273.0
222-222@5pp-r3p-d5f,sg:634bb8ab123c4d68991187d6a0835cdb,Lowe's,Lowe's,190 Highway 32,Lebanon,MO,65536,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2725.0,1406.0
zzw-222@8gk-tbc-y5f,sg:cb206da6013748ca8f231c35a3980a5e,Lowe's,Lowe's,1335 Walker Chapel Rd,Fultondale,AL,35068,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,6876.0,3851.0
222-222@5z6-9bp-mkz,sg:d4a2408be0d4489ab906f87a226207eb,Lowe's,Lowe's,5201 E Ramon Rd,Palm Springs,CA,92264,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1119.0,715.0
223-222@8gk-wb6-sh5,sg:e984ec2fbdd34e9285a89475878bb823,The Home Depot,The Home Depot,289 Vaughan Ln,Pell City,AL,35125,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,12.0,11.0
222-222@8f4-83b-2ff,sg:5ea923932c4948eb9655a65ca142cd33,Lowe's,Lowe's,774 Beal Pkwy NW,Wright,FL,32547,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3742.0,2221.0
222-222@5qw-dx7-fs5,sg:8680cc6d35144fab801c3f3e9ae17807,Lowe's,Lowe's,1021 E US Highway 377,Granbury,TX,76048,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,3198.0,1823.0
zzw-222@62k-j23-9pv,sg:a8c23b8c462a46e0a85cc7b534407275,Lowe's,Lowe's,555 Greenwich Ave,Warwick,RI,02886,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2047.0,1227.0
zzw-222@8tf-qy6-cnq,sg:4ee1ee88b0084754859e9c1f03f52472,Lowe's,Lowe's,11950 Rojas Dr,El Paso,TX,79936,2020-07-01T00:00:00-06:00,2020-08-01T00:00:00-06:00,3129.0,1974.0
zzw-222@63d-pqz-x5z,sg:b77bd55d967f426b8ceefb7f0c36583b,Lowe's,Lowe's,2801 Chapline St,Wheeling,WV,26003,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2978.0,1618.0
222-222@629-86v-wc5,sg:6e9f52569bcc424d8a48fee0f34296dc,The Home Depot,The Home Depot,346 Middle Country Rd,Coram,NY,11727,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2733.0,1529.0
zzw-222@63j-2nw-4jv,sg:3273889912d34655ae7f6b59489566d9,The Home Depot,The Home Depot,3300 Conner St,Noblesville,IN,46060,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2634.0,1643.0
222-222@5zb-x97-7nq,sg:41dfc7f6c5e840fbaff3c9e1d0960d28,The Home Depot,The Home Depot,35050 N North Valley Pkwy,Phoenix,AZ,85086,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2527.0,1440.0
zzw-222@8fy-cvw-c5z,sg:58ba39ac280547a3ad1ca205cf85a2a4,Lowe's,Lowe's,37051 Hwy 27,Haines City,FL,33844,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3337.0,1926.0
222-222@8dj-frm-t9z,sg:dac016c68d4f43a09dd9439729c96626,The Home Depot,The Home Depot,4765 Commercial Way,Spring Hill,FL,34606,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,4263.0,2526.0
223-222@5x4-4dc-g6k,sg:539c145145af4596ad254813b54caac6,The Home Depot,The Home Depot,11616 Aurora Ave N,Seattle,WA,98133,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2284.0,1262.0
223-222@628-p9w-xwk,sg:7202582593a24fa3bb26bf523a4fcd3f,The Home Depot,The Home Depot,11725 Bustleton Ave,Philadelphia,PA,19116,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2121.0,1228.0
zzw-222@8fb-s6f-bc5,sg:9ea5e793d80d4f6288c1cd1118b85b8d,Lowe's,Lowe's,2200 McRae Rd,Leesville,LA,71446,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2709.0,1452.0
222-222@5pv-8sj-3qz,sg:a7388e33059846228cea65ac5d5af1f7,Lowe's,Lowe's,6711 Whitestown Pkwy,Whitestown,IN,46077,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1639.0,1007.0
zzw-222@5q6-7cf-s3q,sg:b10ab5989a3744cdad30edbccf365da9,The Home Depot,The Home Depot,10003 Grant St,Thornton,CO,80229,2020-07-01T00:00:00-06:00,2020-08-01T00:00:00-06:00,2548.0,1619.0
222-222@628-pc8-sh5,sg:d46aaf7640164b9e9bff0cf3e2dd5ece,The Home Depot,The Home Depot,1200 Nixon Dr,Ramblewood,NJ,08054,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2193.0,1477.0
zzw-222@63j-99g-qpv,sg:e77dcef389b74d548d2a22d07ce26383,Lowe's,Lowe's,505 E Kemper Rd,Springdale,OH,45246,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2240.0,1397.0
222-222@5vh-dx4-ch5,sg:66c9d4bd4cde462d914b1e2c30cc75d0,The Home Depot,The Home Depot,355 S Green Valley Rd,Watsonville,CA,95076,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1250.0,676.0
228-222@5pw-5zc-789,sg:97abe0f4eb434493bfced150f735b93c,The Home Depot,The Home Depot,2665 N Halsted St,Chicago,IL,60614,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,211.0,158.0
222-222@646-66p-bx5,sg:4ae29eb1d2f640bb993caf02092b4e98,Lowe's,Lowe's,2301 E Highway 501,Conway,SC,29526,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,4571.0,2650.0
zzw-222@8tm-pcj-fvf,sg:78f2a0c309e7407faa62836fea9415a9,The Home Depot,The Home Depot,10200 Coors Bypass NW,Albuquerque,NM,87114,2020-07-01T00:00:00-06:00,2020-08-01T00:00:00-06:00,2588.0,1602.0
zzy-222@5pn-ppg-pd9,sg:be2fcde5bc7147bb8ecd9d72f8db377a,Lowe's,Lowe'S Home Improvement Center,1050 Lowes Road,Hendersonville,TN,37075,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,4131.0,2115.0
222-222@628-dr2-y9z,sg:4270d7350664421a80a9048319a94c12,Lowe's,Lowe's,200 Weis Ln,West Hazleton,PA,18202,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1981.0,1041.0
222-222@5z5-3nb-73q,sg:72f653d07d8c48c5afe6b001a0db7b5d,The Home Depot,The Home Depot,12322 Washington Blvd,Whittier,CA,90606,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2412.0,1420.0
222-222@5wb-ryc-td9,sg:dc87288d5d504ff3b94675a8e7302a45,Lowe's,Lowe's,4520 Road 68,Pasco,WA,99301,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2039.0,1099.0
222-222@63t-yt6-gx5,sg:32dd7f00954d485c89ac0ebf824cb4e2,The Home Depot,The Home Depot,23300 Allen Rd,Woodhaven,MI,48183,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,2470.0,1552.0
222-223@5zb-xfv-rrk,sg:6a2a209377da4da48af7e96e194f66a5,The Home Depot,The Home Depot,9201 W Peoria Ave,Peoria,AZ,85345,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2032.0,1297.0
222-222@5vg-3nr-vzz,sg:eb4be580c41a4aeabb8bcff24ab514c6,The Home Depot,The Home Depot,225 Soscol Ave,Napa,CA,94559,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1610.0,908.0
zzw-222@5zb-xm4-dy9,sg:75a7ea52dfea4c499cedf6be0bc2ffa8,The Home Depot,The Home Depot,9890 N 90th St,Scottsdale,AZ,85258,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1637.0,1067.0
222-223@5pr-372-yvz,sg:8c411f4381ba4f45bc466a16a823de7b,The Home Depot,The Home Depot,111 E Linwood Blvd,Kansas City,MO,64111,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,2467.0,1395.0
zzw-222@5sb-d2v-45f,sg:360c48b321aa4244bbd3d8764e54b18f,Lowe's,Lowe's,1000 Willow Rd,Northbrook,IL,60062,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,1401.0,907.0
224-222@63s-cx3-nnq,sg:4bee20b3851c46e5bf8be9dc3728175c,Lowe's,Lowe's,160 Forty Foot Rd,Hatfield,PA,19440,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,1918.0,1179.0
zzw-222@5z4-ktq-94v,sg:5624243c4f8e46aaabe636e510b9343c,The Home Depot,The Home Depot,695 E Hospitality Ln,San Bernardino,CA,92408,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,2202.0,1372.0
zzy-222@628-ts2-8jv,sg:612b71a828fc412ebe52934e182773ba,The Home Depot,The Home Depot,170 Union Hill Road,Robertsville,NJ,07751,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3015.0,1902.0
222-222@8fc-96n-9vf,sg:d8a4fe281725403385e3aa3ac49fb8e9,The Home Depot,The Home Depot,20360 Highway 59 N,Humble,TX,77338,2020-07-01T00:00:00-05:00,2020-08-01T00:00:00-05:00,4073.0,2760.0
zzw-222@5z6-vyd-d35,sg:0cea292b5d014d9181880203c7e70231,Lowe's,Lowe's,4144 S Mooney Blvd,Visalia,CA,93277,2020-07-01T00:00:00-07:00,2020-08-01T00:00:00-07:00,1996.0,1161.0
222-222@8gq-ttm-35z,sg:28aec08d7e84496a805cc40769bf618a,Lowe's,Lowe's,303 E International Speedway Blvd,DeLand,FL,32724,2020-07-01T00:00:00-04:00,2020-08-01T00:00:00-04:00,3644.0,1808.0
